player_id,footballer_name,year,age,team,country,comp_level,lg_finish,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
230a2fac,Giovanni-Di-Lorenzo,2010-2011,16,Reggina,it ITA,2. Serie B,6e,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
230a2fac,Giovanni-Di-Lorenzo,2011-2012,17,Reggina,it ITA,2. Serie B,10e,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
230a2fac,Giovanni-Di-Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230a2fac,Giovanni-Di-Lorenzo,2013-2014,19,Reggina,it ITA,2. Serie B,21e,20,17,"1,553",17.3,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
230a2fac,Giovanni-Di-Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230a2fac,Giovanni-Di-Lorenzo,2017-2018,23,Empoli,it ITA,2. Serie B,1er,36,34,"3,077",34.2,1,5,6,1,0,0,4,0,,,,,,,,0.03,0.15,0.18,0.03,0.18,,,,,,Matchs
230a2fac,Giovanni-Di-Lorenzo,2018-2019,24,Empoli,it ITA,1. Serie A,18e,37,37,"3,330",37.0,5,3,8,5,0,0,8,0,3.6,3.3,5.3,8.6,83,241,219,0.14,0.08,0.22,0.14,0.22,0.10,0.14,0.24,0.09,0.23,Matchs
230a2fac,Giovanni-Di-Lorenzo,2019-2020,25,Napoli,it ITA,1. Serie A,7e,33,33,"2,970",33.0,3,3,6,3,0,0,5,0,3.2,3.2,2.2,5.4,67,204,151,0.09,0.09,0.18,0.09,0.18,0.10,0.07,0.16,0.10,0.16,Matchs
230a2fac,Giovanni-Di-Lorenzo,2020-2021,26,Napoli,it ITA,1. Serie A,5e,36,36,"3,240",36.0,3,6,9,3,0,0,11,0,3.8,3.8,5.7,9.5,104,259,192,0.08,0.17,0.25,0.08,0.25,0.11,0.16,0.26,0.11,0.26,Matchs
230a2fac,Giovanni-Di-Lorenzo,2021-2022,27,Napoli,it ITA,1. Serie A,3e,33,33,"2,869",31.9,1,4,5,1,0,0,3,0,1.1,1.1,2.8,3.9,66,196,154,0.03,0.13,0.16,0.03,0.16,0.03,0.09,0.12,0.03,0.12,Matchs
230a2fac,Giovanni-Di-Lorenzo,2022-2023,28,Napoli,it ITA,1. Serie A,1er,37,36,"3,257",36.2,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73,256,182,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.20,0.07,0.20,Matchs
6bb2c084,Andre-Frank-Zambo-Anguissa,2014-2015,18,Reims,fr FRA,1. Ligue 1,15e,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matchs
6bb2c084,Andre-Frank-Zambo-Anguissa,2015-2016,19,Marseille,fr FRA,1. Ligue 1,13e,9,2,292,3.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matchs
6bb2c084,Andre-Frank-Zambo-Anguissa,2016-2017,20,Marseille,fr FRA,1. Ligue 1,5e,33,18,"1,969",21.9,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matchs
6bb2c084,Andre-Frank-Zambo-Anguissa,2017-2018,21,Marseille,fr FRA,1. Ligue 1,4e,37,26,"2,439",27.1,0,0,0,0,0,0,4,0,1.6,1.6,3.2,4.8,59,145,37,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matchs
6bb2c084,Andre-Frank-Zambo-Anguissa,2018-2019,22,Fulham,eng ENG,1. Premier League,19e,22,16,"1,517",16.9,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,34,112,20,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matchs
